"STATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00280907","2018-06-01",,,"1.8",",,7,0700","0.0",",,7,0700","0.0",",,7,0700",,,"20.6",",,7","16.7",",,7","18.9",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","2018-06-02",,,"5.3",",,7,0700","0.0",",,7,0700","0.0",",,7,0700",,,"28.9",",,7","18.9",",,7","21.7",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","2018-06-03",,,"14.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700",,,"29.4",",,7","14.4",",,7","15.0",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","2018-06-04",,,"16.8",",,7,0700","0.0",",,7,0700","0.0",",,7,0700",,,"18.9",",,7","10.6",",,7","11.1",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","2018-06-05",,,"0.0","T,,7,0700","0.0",",,7,0700","0.0",",,7,0700",,,"23.3",",,7","11.1",",,7","12.2",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","2018-06-06",,,"0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700",,,"23.3",",,7","11.7",",,7","13.3",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","2018-06-07",,,"0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700",,,"21.7",",,7","13.3",",,7","14.4",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","2018-06-08",,,"0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700",,,"22.2",",,7","11.7",",,7","13.3",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","2018-06-09",,,"0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700",,,"28.9",",,7","12.8",",,7","17.8",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","2018-06-10",,,"0.0","T,,7,0700","0.0",",,7,0700","0.0",",,7,0700",,,"26.7",",,7","16.7",",,7","18.9",",,7,0700",,,,,,,,,,,,,,,,,,
